Designator,Mid X,Mid Y,Rotation,Layer
C1,132.588,-83.185,180.0,top
C2,127.9105,-82.804,180.0,top
C3,131.699,-80.645,180.0,top
C4,127.5295,-80.645,180.0,top
D1,127.771,-87.63,0.0,top
R1,125.619,-101.854,180.0,top
R2,140.732,-84.836,180.0,top
R3,136.541,-84.836,180.0,top
R4,127.6585,-89.535,0.0,top
U1,140.794,-80.0825,0.0,top
U2,140.852,-94.107,270.0,top
U3,108.762764,-89.897764,0.0,top
